MPID_不明: Outrealmer
MIID_祈りのロウソク: Votive Candle
MIID_死を呼ぶナイフ: Sacrificial Knife
MIID_フェリシアの氷皿: Felicia's Plate
MIID_ジョーカーの食器: Jakob's Tray
MIID_青銅の手裏剣: Brass Shuriken
MIID_鉄の手裏剣: Iron Shuriken
MIID_鋼の手裏剣: Steel Shuriken
MIID_銀の手裏剣: Silver Shuriken
MIID_巧者の手裏剣: Spy's Shuriken
MIID_逆手裏剣: Dual Shuriken
MIID_針手裏剣: Sting Shuriken
MIID_暗殺手裏剣: Barb Shuriken
MIID_爆炎手裏剣: Flame Shuriken
MIID_朧: Chakram
MIID_菜箸: Chopstick
MIID_かんざし: Hair Pin
MIID_撒菱: Caltrop
MIID_スズカゼの疾風針: Kaze's Needle
MIID_サイゾウの爆炎針: Saizo's Star
MIID_カゲロウの眩惑針: Kagero's Dart
MIID_青銅の弓: Bronze Bow
MIID_鉄の弓: Iron Bow
MIID_鋼の弓: Steel Bow
MIID_銀の弓: Silver Bow
MIID_強者の弓: Crescent Bow
MIID_鉄の近撃弓: Iron Shortbow
MIID_鋼の近撃弓: Steel Shortbow
MIID_銀の近撃弓: Silver Shortbow
MIID_キラーボウ: Killer Bow
MIID_聖なる弓: Blessed Bow
MIID_ショートボウ: Mini Bow
MIID_シャイニングボウ: Shining Bow
MIID_ゴムの弓: Rubber Bow
MIID_バイオリンの弓: Violin Bow
MIID_キューピッドの弓: Cupid Bow
MIID_狩人の弓: Hunter's Bow
MIID_アンナの福弓: Anna's Bow
MIID_ゼロの虐弓: Niles's Bow
MIID_青銅の和弓: Brass Yumi
MIID_鉄の和弓: Iron Yumi
MIID_鋼の和弓: Steel Yumi
MIID_銀の和弓: Silver Yumi
MIID_巧者の和弓: Spy's Yumi
MIID_鉄の近撃和弓: Iron Hankyu
MIID_鋼の近撃和弓: Steel Hankyu
MIID_銀の近撃和弓: Silver Hankyu
MIID_逆和弓: Dual Yumi
MIID_明鏡の和弓: Illusory Yumi
MIID_必中の和弓: Surefire Yumi
MIID_残心: Pursuer
MIID_風神弓: Fujin Yumi
MIID_風神弓（青銅）: Fujin Yumi
MIID_スカディ: Skadi
MIID_竹の和弓: Bamboo Yumi
MIID_琵琶の和弓: Harp Yumi
MIID_追い剥ぎの和弓: Raider Yumi
MIID_破魔矢: Spellbane Yumi
MIID_横撃ちの和弓: Sidelong Yumi
MIID_ミコトの霊弓: Mikoto's Yumi
MIID_セツナの緩弓: Setsuna's Yumi
MIID_ファイアー: Fire
MIID_サンダー: Thunder
MIID_フィンブル: Fimbulvetr
MIID_ライナロック: Ragnarok
MIID_ユグドラシル: Ginnungagap
MIID_エクスカリバー: Excalibur
MIID_ライトニング: Lightning
MIID_ミョルニル: Mjölnir
MIID_リザイア: Nosferatu
MIID_スライム: Mire
MIID_ブリュンヒルデ: Brynhildr
MIID_プチファイアー: Ember
MIID_ミステルトィン: Missiletainn
MIID_ローバー: Disrobing Gale
MIID_ブーストサンダー: Speed Thunder
MIID_ムーンライト: Moonlight
MIID_マクベスの惑書: Iago's Tome
MIID_オーディンの黒書: Odin's Grimoire
MIID_鼠神・子: Rat Spirit
MIID_牛神・丑: Ox Spirit
MIID_虎神・寅: Tiger Spirit
MIID_兎神・卯: Rabbit Spirit
MIID_龍神・辰: Dragon Spirit
MIID_逆神・丑寅: Calamity Gate
MIID_蛇神・巳: Snake Spirit
MIID_馬神・午: Horse Spirit
MIID_羊神・未: Sheep Spirit
MIID_紙: Paper
MIID_古びた書物: Malevolent Text
MIID_猿神・申: Monkey Spirit
MIID_鳥神・酉: Bird Spirit
MIID_虹の賢者の墨絵: Ink Painting
MIID_イザナの古呪: Izana's Scroll
MIID_ライブ: Heal
MIID_リライブ: Mend
MIID_リブロー: Physic
MIID_リカバー: Recover
MIID_リザーブ: Fortify
MIID_フリーズ: Freeze
MIID_ウィークネス: Enfeeble
MIID_ドロー: Entrap
MIID_ビフレスト: Bifröst
MIID_お菓子の杖: Candy Cane
MIID_キノコの杖: Mushroom Staff
MIID_花束の杖: Bouquet Staff
MIID_エリーゼの幼杖: Elise's Staff
MIID_リリスの星杖: Lilith's Staff
MIID_春祭: Bloom Festal
MIID_夏祭: Sun Festal
MIID_秋祭: Wane Festal
MIID_冬祭: Moon Festal
MIID_大祭: Great Festal
MIID_七難即滅: Rescue
MIID_神風招来: Silence
MIID_禍事罪穢: Hexing Rod
MIID_ちょうちん: Lantern
MIID_団子串: Dumpling Rod
MIID_笹飾り: Bamboo Branch
MIID_サクラの小祓串: Sakura's Rod
MIID_アサマの捻れ祓串: Purification Rod
MIID_竜石: Dragonstone
MIID_真竜石: Dragonstone+
MIID_獣石: Beaststone
MIID_守獣石: Beastrune
MIID_超獣石: Beaststone+
MIID_竜のブレス: Draconic Rage
MIID_暗夜竜のブレス: Dark Breath
MIID_透魔竜のブレス: Dragon Breath
MIID_乱拳: Shackled Fist
MIID_狂乱拳: Gauntlet
MIID_岩塊: Rock
MIID_巨岩塊: Massive Rock
MIID_星竜のブレス: Astral Breath
MIID_星竜の加護: Astral Blessing
MIID_絡繰鋸: Saw
MIID_絡繰巨大鋸: Big Saw
MIID_傷薬: Vulnerary
MIID_調合薬: Concoction
MIID_特効薬: Elixir
MIID_HPの薬: HP Tonic
MIID_力の薬: Strength Tonic
MIID_魔力の薬: Magic Tonic
MIID_技の薬: Skill Tonic
MIID_速さの薬: Speed Tonic
MIID_幸運の薬: Luck Tonic
MIID_守備の薬: Defense Tonic
MIID_魔防の薬: Resistance Tonic
MIID_アクアの秘薬: Azura's Salve
MIID_ギュンターの良薬: Gunter's Potion
MIID_グレイの創作菓子: Asugi's Confect
MIID_虹の秘薬: Rainbow Tonic
MIID_絆の種: Seed of Trust
MIID_ハープ: Allegro Harp
MIID_ほら貝: Shell Horn
MIID_扉の鍵: Door Key
MIID_宝の鍵: Chest Key
MIID_万能鍵: Master Key
MIID_天使の衣: Seraph Robe
MIID_力のしずく: Energy Drop
MIID_精霊の粉: Spirit Dust
MIID_秘伝の書: Secret Book
MIID_はやての羽: Speedwing
MIID_女神の像: Goddess Icon
MIID_竜の盾: Dracoshield
MIID_魔よけ: Talisman
MIID_神竜草: Dragon Herbs
MIID_ブーツ: Boots
MIID_術書: Arms Scroll
MIID_マスタープルフ: Master Seal
MIID_パラレルプルフ: Heart Seal
MIID_マリッジプルフ: Partner Seal
MIID_バディプルフ: Friendship Seal
MIID_エターナルプルフ: Eternal Seal
MIID_チャイルドプルフ: Offspring Seal
MIID_予約プルフ０１: Promise Seal 01
MIID_予約プルフ０２: Promise Seal 02
MIID_予約プルフ０３: Promise Seal 03
MIID_小判: Gold Bar
MIID_金塊（小）: Bullion (S)
MIID_金塊（中）: Bullion (M)
MIID_金塊（大）: Bullion (L)
MIID_真ガングレリ: Ganglari
MIID_魔戦士の巻物: Dread Scroll
MIID_黒天馬の翼: Ebon Wing
MIID_戦闘王の紋章: Battle Seal
MIID_訪問王の紋章: Visitation Seal
MIID_1000G: 1000G
MIID_2000G: 2000G
MIID_3000G: 3000G
MIID_5000G: 5000G
MIID_7000G: 7000G
MIID_10000G: 10000G
MIID_20000G: 20000G
MIID_障害物: Obstacle
MIID_シューター砲台: Sighting Lens
MIID_魔女の魔法陣: Witch's Mark
MIID_エリートの書: Paragon
MIID_鎧盾の書: Armor Shield
MIID_獣盾の書: Beast Shield
MIID_翼盾の書: Winged Shield
MIID_近接射撃の書: Point Blank
MIID_攻防一体の陣の書: Bold Stance
MIID_力の吸収の書: Strengthtaker
MIID_魔力の吸収の書: Magictaker
MIID_技の吸収の書: Skilltaker
MIID_速さの吸収の書: Speedtaker
MIID_幸運の吸収の書: Lucktaker
MIID_守備の吸収の書: Defensetaker
MIID_魔防の吸収の書: Resistancetaker
MIID_絆の王の紋章: Master Emblem
MIID_神剣ファルシオン: Falchion
MIID_神剣ラグネル: Ragnell
MIID_裏剣ファルシオン: Parallel Falchion
MIID_雷書トロン: Thoron
MIID_マルスの模擬剣: Marth's Spatha
MIID_アイクの模擬剣: Ike's Backup
MIID_ルキナの模擬剣: Lucina's Estoc
MIID_ルフレの写本: Robin's Primer
MTID_移動不可: Obstacle
MTID_平地: Plain
MTID_氷丘: Ice
MTID_毒沼: Acid Bog
MTID_闇沼: Marsh
MTID_竹槍: Spikes
MTID_溶岩床: Lava
MTID_嵐: Tempest
MTID_林: Woods
MTID_砂漠: Desert
MTID_荒地: Waste
MTID_田畑: Field
MTID_山: Mountain
MTID_高山: Peak
MTID_崖: Cliff
MTID_断崖: Tall Cliff
MTID_深い森: Thick Wood
MTID_空: Emptiness
MTID_風の渦: Storm
MTID_竜巻: Tornado
MTID_橋: Bridge
MTID_河: Water
MTID_泉: Spring
MTID_海: Sea
MTID_湖: Lake
MTID_砦: Fort
MTID_召喚床: Sigil
MTID_穴: Hole
MTID_城門: Gate
MTID_廃墟門: Old Gate
MTID_墓: Grave
MTID_村: Village
MTID_閉じ村: (Village)
MTID_廃村: (Village)
MTID_建物: Edifice
MTID_低建物: Building
MTID_壁: Wall
MTID_本棚: Shelves
MTID_水晶玉: Crystal
MTID_篝火: Torch
MTID_桜: Cherry Tree
MTID_大樹: Big Tree
MTID_低壁: Partition
MTID_瓦礫: Rubble
MTID_庭石: Stone
MTID_隆起: Protrusion
MTID_土塁: Levee
MTID_床: Floor
MTID_階段: Stairs
MTID_門口: Gate
MTID_暗夜床: Blight
MTID_柱: Pillar
MTID_座布団: Cushion
MTID_玉座: Throne
MTID_回復床: Healtile
MTID_剣の間: Chamber
MTID_扉: Door
MTID_襖: Screen
MTID_宝箱: Chest
MTID_古木: Dead Tree
MTID_暗器砲台: Launcher
MTID_弓砲台: Ballista
MTID_魔道砲台: Fire Orb
MTID_氷海: Icy Sea
MTID_海の道: Path
MTID_良薬: Medicine
MTID_劇薬: Poison
MTID_撒菱: Caltrops
MTID_水壁: Dark Waters
MTID_障壁: Barrier
MTID_魔方陣: Sigil
MTID_渓谷: Canyon
MTID_炎壁: Flamewall
MTID_御神木: Holy Tree
MTID_太柱: Column
MTID_闇: Darkness
MTID_氷: Ice
MTID_鎖: Lock
MTID_守護床: Ward
MTID_氷結泉: Ice Patch
MTID_水たまり: Water
MTID_防壁: Barrier
MTID_障害物: Obstacle
MTID_宇宙: Void
MTID_竜の体: Body
MTID_竜の足: Claw
MTID_竜の核: Core
MTID_コア: Heart
MTID_堀: Moat
MTID_空堀: Moat Bed
