MPID_不明: Outrealmer
MCID_T_C006: Plains of Hoshido
MCID_T_C007: Canyon Valley
MCID_T_C008: Fort Jinya
MCID_T_C009: Wind Tribe Village
MCID_T_C010: Town in Izumo
MCID_T_C011: Forest in Mokushu
MCID_T_C012: At Sea
MCID_T_C013: Destroyed Town
MCID_T_C014: Port Dia
MCID_T_C015: Sevenfold Sanctuary
MCID_T_C016: Lava Fields
MCID_T_C017: Bottomless Canyon S.
MCID_T_C018: Floating Isle
MCID_T_C019: Abandoned Town
MCID_T_C020: Floating Isles
MCID_T_C021: Cursed Ruins
MCID_T_C022: Lost Forest
MCID_T_C023: Floating Bridge
MCID_T_C024: Castle Valla: Basement
MCID_T_C025: Castle Valla: Labyrinth
MCID_T_C026: Castle Valla: Throne Room
MCID_T_C027: Castle Valla Ruins
MCID_T_C028: Castle Valla Ruins
MCID_T_X001: Small Village
MCID_T_X002: Town in a Deeprealm
MCID_T_X003: Astral Sea
MCID_T_X004: Sanctuary in a Deeprealm
MCID_T_X005: Riverside Village
MCID_T_X006: Divine Dragon's Forest
MCID_T_X007: White Sands
MCID_T_X008: Deeprealm Mountain
MCID_T_X009: Thieves' Den
MCID_T_X010: Poachers' Forest
MCID_T_X011: Wastelands
MCID_T_X012: Village in a Deeprealm
MCID_T_X013: Riverside
MCID_T_X014: Cemetery in a Deeprealm
MCID_T_X015: Swamp in a Deeprealm
MCID_T_X016: Trading Town
MCID_T_X017: Isolated Village
MCID_T_X018: Countryside
MCID_T_X019: Mountain Fort
MCID_T_X020: Ancient City
MCID_T_X021: Walled Town
MCID_T_X022: Fancy Estate
MCID_T_AY01: Castle
MCID_T_AY02: Castle
MCID_T_AY03: Castle
MCID_T_BY01: Castle
MCID_T_BY02: Castle
MCID_T_BY03: Castle
MCID_T_CY01: Castle
MCID_T_CY02: Castle
MCID_T_CY03: Castle
MCID_T_M001: Plains of Hoshido
MCID_T_M002: Plains of Hoshido
MCID_T_M003: Plains of Hoshido
MCID_T_M004: Plains of Hoshido
MCID_T_E000: Dragon's Gate
MCID_RULE_ENCOUNT: Rout the enemy
MCID_RULE_CASTLE_OF: Seize or rout the enemy
MCID_RULE_CASTLE_DF: Defend the throne and rout the enemy
MCID_RULE_A000: Rout the enemy
MCID_RULE_A001: Defeat the boss
MCID_RULE_A002: Rout the enemy
MCID_RULE_A003: Seize the building
MCID_RULE_A004: Rout the enemy
MCID_RULE_A005: Rout the enemy
MCID_RULE_A006: Defeat the boss
MCID_RULE_A007: Rout the enemy
MCID_RULE_A008: Rout the enemy
MCID_RULE_A009: Rout the enemy
MCID_RULE_A010: Rout the enemy
MCID_RULE_A011: Rout the enemy
MCID_RULE_A012: $aHave $Nu escape
MCID_RULE_A013: Rout the enemy
MCID_RULE_A014: Defeat the boss
MCID_RULE_A015: Rout the enemy
MCID_RULE_A016: Rout the enemy
MCID_RULE_A017: Rout the enemy
MCID_RULE_A018: Defeat the boss
MCID_RULE_A019: Rout the enemy
MCID_RULE_A020: Defeat the boss
MCID_RULE_A021: Defeat the boss
MCID_RULE_A022: Rout the enemy
MCID_RULE_A023: Rout the enemy
MCID_RULE_A024: Defeat the boss
MCID_RULE_A025: Defeat the boss
MCID_RULE_A026: Defeat the boss
MCID_RULE_A027: Defeat the boss
MCID_RULE_A028: Defeat the boss
MCID_RULE_B006: Defeat 4 enemies
MCID_RULE_B007: Rout the enemy
MCID_RULE_B008: Defeat the boss
MCID_RULE_B009: Seize
MCID_RULE_B010: Defend green zone for 11 turns
MCID_RULE_B011: Defeat the boss
MCID_RULE_B012: Defeat boss or escape in 16 turns
MCID_RULE_B012_TELOP: $aDefeat the boss or have\n$Nu escape within 16 turns
MCID_RULE_B013: Rout the enemy
MCID_RULE_B014: Defeat the boss
MCID_RULE_B015: Defeat boss or escape all in 20 turns
MCID_RULE_B015_TELOP: Defeat the boss or have all units\nescape within 20 turns
MCID_RULE_B016: Defeat the boss
MCID_RULE_B017: Defeat the boss
MCID_RULE_B018: Defeat all bosses within 20 turns
MCID_RULE_B019: Rout the enemy
MCID_RULE_B020: Seize
MCID_RULE_B021: Escape with all units
MCID_RULE_B022: Seize
MCID_RULE_B023: Seize
MCID_RULE_B024: Seize
MCID_RULE_B025: Defeat the boss
MCID_RULE_B026: Seize
MCID_RULE_B027: Defeat the boss
MCID_RULE_B028: Defeat the boss
MCID_RULE_C006: Defeat both bosses within 5 turns
MCID_RULE_C007: Seize
MCID_RULE_C008: Defeat the boss
MCID_RULE_C009: Seize
MCID_RULE_C010: Seize
MCID_RULE_C011: Rout the enemy
MCID_RULE_C012: Defeat the boss
MCID_RULE_C013: Defeat the boss
MCID_RULE_C014: Rout the enemy
MCID_RULE_C015: Seize
MCID_RULE_C016: Defeat the boss
MCID_RULE_C017: Seize
MCID_RULE_C018: Defeat the boss
MCID_RULE_C019: Defeat boss or escape all in 20 turns
MCID_RULE_C019_TELOP: Defeat the boss or have all units\nescape within 20 turns
MCID_RULE_C020: Defeat the boss
MCID_RULE_C021: Defeat the boss
MCID_RULE_C022: Seize
MCID_RULE_C023: Seize
MCID_RULE_C024: Locate and defeat the boss
MCID_RULE_C025: Defeat the boss
MCID_RULE_C026: Defeat the boss
MCID_RULE_C027: Defeat the boss
MCID_RULE_C028: Defeat the boss
MCID_RULE_X001: Rout the enemy
MCID_RULE_X002: Rout the enemy
MCID_RULE_X003: Defeat the boss
MCID_RULE_X004: Defeat the boss
MCID_RULE_X005: Defeat the boss
MCID_RULE_X006: Defeat the boss
MCID_RULE_X007: Rout the enemy
MCID_RULE_X008: Rout the enemy
MCID_RULE_X009: Defeat the boss before Asugi escapes
MCID_RULE_X010: Rout the enemy
MCID_RULE_X011: Rout the enemy
MCID_RULE_X012: Rout the enemy
MCID_RULE_X013: Rout the enemy
MCID_RULE_X014: Rout the enemy
MCID_RULE_X015: Use all Dragon Veins; then rout enemy
MCID_RULE_X016: Rout the enemy
MCID_RULE_X017: Keep the enemy out of the village
MCID_RULE_X018: Rout the enemy
MCID_RULE_X019: Rout the enemy
MCID_RULE_X020: Rout the enemy
MCID_RULE_X021: Rout the enemy
MCID_RULE_X022: Rout the enemy before Nina escapes
MCID_RULE_AY01: Defend the throne and rout the enemy
MCID_RULE_AY02: Defend the throne and rout the enemy
MCID_RULE_AY03: Defend the throne and rout the enemy
MCID_RULE_BY01: Defend the throne and rout the enemy
MCID_RULE_BY02: Defend the throne and rout the enemy
MCID_RULE_BY03: Defend the throne and rout the enemy
MCID_RULE_CY01: Defend the throne and rout the enemy
MCID_RULE_CY02: Defend the throne and rout the enemy
MCID_RULE_CY03: Defend the throne and rout the enemy
MCID_RULE_M001: Rout the enemy
MCID_RULE_M002: Rout the enemy
MCID_RULE_M003: Rout the enemy
MCID_RULE_M004: Rout the enemy
MCID_DRAGONLINE_H_A000: Use fire to dry up\nthe river.
MCID_DRAGONLINE_H_A001: Reveal a healing\narea on the ground.
MCID_DRAGONLINE_H_A002: Clear debris to reveal\nhealing areas.
MCID_DRAGONLINE_H_A003: Create a bridge from\nfallen stones.
MCID_DRAGONLINE_H_A004: Melt the mountain of\nsnow with flames.
MCID_DRAGONLINE_H_A006: Use fire to dry up\nthe river.
MCID_DRAGONLINE_H_A007: Reveal a healing\narea on the ground.
MCID_DRAGONLINE_H_A008: Turn desert spaces\ninto plains.
MCID_DRAGONLINE_H_A009: Use the holy tree to\nheal all allies.
MCID_DRAGONLINE_H_A010: Trigger traps to hurt\nall units each turn.
MCID_DRAGONLINE_H_A011: Create a storm that\nslows fliers within.
MCID_DRAGONLINE_H_A012: Freeze the water to\nmake it passable.
MCID_DRAGONLINE_H_A013: Call lightning to drop\nunits in area to 1 HP.
MCID_DRAGONLINE_H_A014: Trigger a landslide to\ndamage all enemies.
MCID_DRAGONLINE_H_A015: Call rains to drop\nenemy stats (temp.).
MCID_DRAGONLINE_H_A017: Freeze the lake and\nmake it passable.
MCID_DRAGONLINE_H_A018: Create marsh that\nhurts non-Nohrians.
MCID_DRAGONLINE_H_A020: Neutralize acid-bog\nspaces.
MCID_DRAGONLINE_H_A021: Open a path OR\nflood area with lava.
MCID_DRAGONLINE_H_A022: Restore HP to all\nunits in range.
MCID_DRAGONLINE_H_A023: Throw a fireball that\nhurts all enemies.
MCID_DRAGONLINE_H_A024: Create a storm that\nslows fliers within.
MCID_DRAGONLINE_H_A025: Call corrosive winds\nto destroy foes' gear.
MCID_DRAGONLINE_H_A028: Blight area to feed\nGaron HP each turn.
MCID_DRAGONLINE_H_B006: Dry up the river with\na burst of flame.
MCID_DRAGONLINE_H_B008: Melt the ice to make\na lake for 1 turn.
MCID_DRAGONLINE_H_B009: Call acid rain to drop\nall units' HP to 1.
MCID_DRAGONLINE_H_B010: Lower water to make\nthe sea passable.
MCID_DRAGONLINE_H_B012: Call an earthquake\nto break all the pots.
MCID_DRAGONLINE_H_B015: Split each allied unit\ninto two bodies.
MCID_DRAGONLINE_H_B017: Block or open certain\npaths in the cavern.
MCID_DRAGONLINE_H_B020: Call wind that moves\nall units (once/turn).
MCID_DRAGONLINE_H_B020_NORMAL: Call wind that moves\nenemies (once/turn).
MCID_DRAGONLINE_H_B021: Freeze all enemies in\nplace for one turn.
MCID_DRAGONLINE_H_B022: Flatten a levee. But\nif Sakura uses it...
MCID_DRAGONLINE_H_B022_NORMAL: Flatten a levee.
MCID_DRAGONLINE_H_B024: Slows fliers, speeds\nothers. But Hinoka...
MCID_DRAGONLINE_H_B025: Turn healing tiles to\nAvo.-penalty tiles.
MCID_DRAGONLINE_H_B028: Create barriers to\nblunt Takumi's attack.
MCID_DRAGONLINE_H_C006: Use fire to dry up\nthe river.
MCID_DRAGONLINE_H_C008: Reveal a healing\narea on the ground.
MCID_DRAGONLINE_H_C009: Call wind that moves\nall units (once/turn).
MCID_DRAGONLINE_H_C009_NORMAL: Call wind that moves\nenemies (once/turn).
MCID_DRAGONLINE_H_C011: Clear spikes in this\narea and disarm trap.
MCID_DRAGONLINE_H_C012: Call floating blocks\nof ice to form a path.
MCID_DRAGONLINE_H_C013: Lower the tide to\nmake river passable.
MCID_DRAGONLINE_H_C014: Lower the tide to\nmake river passable.
MCID_DRAGONLINE_H_C016: Make flames erupt\nor die down.
MCID_DRAGONLINE_H_C018: Damage the statue to\nreveal a central sigil.
MCID_DRAGONLINE_H_C019: Split each allied unit\ninto two bodies.
MCID_DRAGONLINE_H_C020: Relocate bridge and\nall units on it.
MCID_DRAGONLINE_H_C021: Swap the red and\nblue areas.
MCID_DRAGONLINE_H_C022: Burn the thick wood\nto make it passable.
MCID_DRAGONLINE_H_C025: Release one of the\nlocks on the path.
MCID_DRAGONLINE_H_C026: Freeze water to stop\nreinforcements.
MCID_DRAGONLINE_H_C027: Remove the water to\nreveal a healing area.
MCID_DRAGONLINE_H_X002: Fill up or dry out the\nmoat.
MCID_DRAGONLINE_H_X006: Burn the thick wood\nto make it passable.
MCID_DRAGONLINE_H_X007: Turn desert spaces\ninto plains.
MCID_DRAGONLINE_H_X009: Destroy a section\nof the wall.
MCID_DRAGONLINE_H_X012: Freeze the water and\nmake it passable.
MCID_DRAGONLINE_H_X014: Neutralize acid-bog\nspaces.
MCID_DRAGONLINE_H_X015: Burn wood, dry water,\nstop reinforcements.
MCID_DRAGONLINE_H_X018: Silence all units for\n1 turn (no magic).
MCID_DRAGONLINE_H_X018_NORMAL: Silence enemies for\n1 turn (no magic).
MCID_DRAGONLINE_H_X019: Intimidate area foes,\nforcing them to flee.
MJID_不明: Outrealm Class
MJID_ダークブラッド: Nohr Noble
MJID_ダークプリンス: Nohr Prince
MJID_ダークプリンセス: Nohr Princess
MJID_白の血族: Hoshido Noble
MJID_パラディン: Paladin
MJID_ソシアルナイト: Cavalier
MJID_グレートナイト: Great Knight
MJID_アーマーナイト: Knight
MJID_ジェネラル: General
MJID_バーサーカー: Berserker
MJID_アクスファイター: Fighter
MJID_ブレイブヒーロー: Hero
MJID_マーシナリー: Mercenary
MJID_ボウナイト: Bow Knight
MJID_シーフ: Outlaw
MJID_アドベンチャラー: Adventurer
MJID_剣聖: Swordmaster
MJID_侍: Samurai
MJID_兵法者: Master of Arms
MJID_修羅: Oni Chieftain
MJID_鬼人: Oni Savage
MJID_鍛冶: Blacksmith
MJID_槍聖: Spear Master
MJID_槍術士: Spear Fighter
MJID_婆娑羅: Basara
MJID_呪い師: Diviner
MJID_陰陽師: Onmyoji
MJID_修験者: Monk
MJID_巫女: Shrine Maiden
MJID_山伏: Great Master
MJID_戦巫女: Priestess
MJID_聖天馬武者: Falcon Knight
MJID_天馬武者: Sky Knight
MJID_金鵄武者: Kinshi Knight
MJID_弓使い: Archer
MJID_弓聖: Sniper
MJID_ドラゴンマスター: Wyvern Lord
MJID_ドラゴンナイト: Wyvern Rider
MJID_レヴナントナイト: Malig Knight
MJID_上忍: Master Ninja
MJID_忍: Ninja
MJID_絡繰師: Mechanist
MJID_薬商人: Apothecary
MJID_大商人: Merchant
MJID_ソーサラー: Sorcerer
MJID_ダークマージ: Dark Mage
MJID_ダークナイト: Dark Knight
MJID_ストラテジスト: Strategist
MJID_ロッドナイト: Troubadour
MJID_バトラー: Butler
MJID_メイド: Maid
MJID_ガルー: Wolfskin
MJID_マーナガルム: Wolfssegner
MJID_妖狐: Kitsune
MJID_九尾の狐: Nine-Tails
MJID_歌姫: Songstress
MJID_村人: Villager
MJID_ランサー: Lancer
MJID_ノスフェラトゥ: Faceless
MJID_ゴーレム: Stoneborn
MJID_絡繰人形: Automaton
MJID_ダークロード: Nohrian King
MJID_竜: Feral Dragon
MJID_星竜: Astral Dragon
MJID_暗夜竜: Blight Dragon
MJID_透魔竜: Silent Dragon
MJID_水の眷属: Empty Vessel
MJID_魔戦士: Dread Fighter
MJID_ダークペガサス: Dark Falcon
MJID_シューター: Ballistician
MJID_魔女: Witch
MJID_スターロード: Lodestar
MJID_ヴァンガード: Vanguard
MJID_マスターロード: Great Lord
MJID_神軍師: Grandmaster
MJID_ダミー: DUMMY
MJID_INTRO_ダークブラッド: Nohr Noble
MJID_INTRO_ダークプリンス: Nohr Prince
MJID_INTRO_ダークプリンセス: Nohr Princess
MJID_INTRO_白の血族: Hoshido Noble
MJID_INTRO_パラディン: Paladin
MJID_INTRO_ソシアルナイト: Cavalier
MJID_INTRO_グレートナイト: Great Knight
MJID_INTRO_アーマーナイト: Knight
MJID_INTRO_ジェネラル: General
MJID_INTRO_バーサーカー: Berserker
MJID_INTRO_アクスファイター: Fighter
MJID_INTRO_ブレイブヒーロー: Hero
MJID_INTRO_マーシナリー: Mercenary
MJID_INTRO_ボウナイト: Bow Knight
MJID_INTRO_シーフ: Outlaw
MJID_INTRO_アドベンチャラー: Adventurer
MJID_INTRO_剣聖: Swordmaster
MJID_INTRO_侍: Samurai
MJID_INTRO_兵法者: Master of Arms
MJID_INTRO_修羅: Oni Chieftain
MJID_INTRO_鬼人: Oni Savage
MJID_INTRO_鍛冶: Blacksmith
MJID_INTRO_槍聖: Spear Master
MJID_INTRO_槍術士: Spear Fighter
MJID_INTRO_婆娑羅: Basara
MJID_INTRO_呪い師: Diviner
MJID_INTRO_陰陽師: Onmyoji
MJID_INTRO_修験者: Monk
MJID_INTRO_巫女: Shrine Maiden
MJID_INTRO_山伏: Great Master
MJID_INTRO_戦巫女: Priestess
MJID_INTRO_聖天馬武者: Falcon Knight
MJID_INTRO_天馬武者: Sky Knight
MJID_INTRO_金鵄武者: Kinshi Knight
MJID_INTRO_弓使い: Archer
MJID_INTRO_弓聖: Sniper
MJID_INTRO_ドラゴンマスター: Wyvern Lord
MJID_INTRO_ドラゴンナイト: Wyvern Rider
MJID_INTRO_レヴナントナイト: Malig Knight
MJID_INTRO_上忍: Master Ninja
MJID_INTRO_忍: Ninja
MJID_INTRO_絡繰師: Mechanist
MJID_INTRO_薬商人: Apothecary
MJID_INTRO_大商人: Merchant
MJID_INTRO_ソーサラー: Sorcerer
MJID_INTRO_ダークマージ: Dark Mage
MJID_INTRO_ダークナイト: Dark Knight
MJID_INTRO_ストラテジスト: Strategist
MJID_INTRO_ロッドナイト: Troubadour
MJID_INTRO_バトラー: Butler
MJID_INTRO_メイド: Maid
MJID_INTRO_ガルー: Wolfskin
MJID_INTRO_マーナガルム: Wolfssegner
MJID_INTRO_妖狐: Kitsune
MJID_INTRO_九尾の狐: Nine-Tails
MJID_INTRO_歌姫: Songstress
MJID_INTRO_村人: Villager
MJID_INTRO_ランサー: Lancer
MJID_INTRO_ノスフェラトゥ: Faceless
MJID_INTRO_ゴーレム: Stoneborn
MJID_INTRO_絡繰人形: Automaton
MJID_INTRO_ダークロード: Nohrian King
MJID_INTRO_魔戦士: Dread Fighter
MJID_INTRO_ダークペガサス: Dark Falcon
MJID_INTRO_ダミー: Dummy
MJID_H_不明: A mysterious warrior who appeared\nfrom the Dragon's Gate.
MJID_H_ダークブラッド: A member of the Nohr royal family.\nUses swords, tomes, and dragonstones.
MJID_H_ダークプリンス: A prince of Nohr. His blood pulses\nwith the power of the dragons.
MJID_H_ダークプリンセス: A princess of Nohr. Her blood pulses\nwith the power of the dragons.
MJID_H_白の血族: A scion of Hoshido royalty. Uses\nkatana, rods, and dragonstones.
MJID_H_パラディン: Nohrian. A brave, honorable knight.\nMore experienced than a cavalier.
MJID_H_ソシアルナイト: Nohrian. A knight who fights on\nhorseback. Wields swords and lances.
MJID_H_グレートナイト: Nohrian. An armored, mounted knight.\nWields swords, lances, and axes.
MJID_H_アーマーナイト: Nohrian. A heavily armored knight.\nMoves slowly, but has high Def.
MJID_H_ジェネラル: Nohrian. A seasoned, armored\ncommander of troops. Exceptional Def.
MJID_H_バーサーカー: Nohrian. A seasoned fighter.\nGreat at getting in critical hits.
MJID_H_アクスファイター: Nohrian. A soldier trained in axe\nfighting. High HP, but low Def.
MJID_H_ブレイブヒーロー: Nohrian. A soldier with a record of\nbravery. Wields swords and axes.
MJID_H_マーシナリー: A soldier whose main loyalty is to gold.\nTheir stats are balanced, with high Skill.
MJID_H_ボウナイト: Nohrian. An archer trained to shoot\nfrom horseback. Also wields swords.
MJID_H_シーフ: Nohrian. A rogue able to pick any lock.\nUses bows and has high Spd and Res.
MJID_H_アドベンチャラー: Nohrian. A skilled treasure seeker.\nWields bows and staves in the field.
MJID_H_剣聖: Hoshidan. A master of the way of the\nkatana. Has exceptional Spd and Avo.
MJID_H_侍: Hoshidan. A warrior striving to master\nthe katana. Benefits from high Spd.
MJID_H_兵法者: Hoshidan. A versatile warrior who uses\nkatana, naginata, and clubs.
MJID_H_修羅: Hoshidan. A savage warrior who fights\nferociously with clubs and scrolls.
MJID_H_鬼人: Hoshidan. A club wielder who fights\nlike a demon. Has high Str and Def.
MJID_H_鍛冶: Hoshidan. An artisan with great Skill.\nThey wield katana and clubs.
MJID_H_槍聖: Hoshidan. A soldier who has mastered\nthe naginata. Their stats are balanced.
MJID_H_槍術士: Hoshidan. A soldier trained in the\nnaginata. They have high Def.
MJID_H_婆娑羅: Hoshidan. A freewheeling warrior who\nuses naginata and scrolls.
MJID_H_呪い師: Hoshidan. A skilled practitioner of\nspirit magic. Uses scrolls in battle.
MJID_H_陰陽師: Hoshidan. A powerful spirit caller.\nUses scrolls and rods.
MJID_H_修験者: Hoshidan. An ascetic who strives\ntoward enlightenment. Uses rods.
MJID_H_巫女: Hoshidan. A holy woman who uses\nrods to heal her allies.
MJID_H_山伏: Hoshidan. An enlightened monk who\nuses both rods and naginata.
MJID_H_戦巫女: Hoshidan. A skilled shrine maiden who\nwields the yumi as well as the rod.
MJID_H_聖天馬武者: Hoshidan. A skilled pegasus rider\ntrained in naginata and rods.
MJID_H_天馬武者: Hoshidan. A warrior who flies atop a\npegasus. Excels in Spd and Def.
MJID_H_金鵄武者: Hoshidan. A naginata and yumi wielder\nriding a great bird called a Kinshi.
MJID_H_弓使い: Hoshidan. A soldier who uses a yumi,\na type of bow. They have high Skill.
MJID_H_弓聖: Hoshidan. A master of the yumi.\nThey have high Hit and Crit rates.
MJID_H_ドラゴンマスター: Nohrian. A mighty knight mounted\non a wyvern. Uses axes and lances.
MJID_H_ドラゴンナイト: Nohrian. A cavalry rider who rides a\nwyvern. Has high Str and Def.
MJID_H_レヴナントナイト: Nohrian. A tamer of evil dragons.\nCrushes foes with axes and tomes.
MJID_H_上忍: Hoshidan. A ninja who trains others.\nUses shuriken and katana on missions.
MJID_H_忍: Hoshidan. A shuriken wielder who\nstrikes from the shadows.
MJID_H_絡繰師: Hoshidan. A puppet maker skilled in\nthe use of shuriken and yumi.
MJID_H_薬商人: Hoshidan. An expert in potions and\nsalves. Uses a yumi for self-defense.
MJID_H_大商人: Hoshidan. A trader who protects\ninvestments with yumi and naginata.
MJID_H_ソーサラー: Nohrian. A mage who delves deeply\ninto dark lore. Their Mag is fearsome.
MJID_H_ダークマージ: Nohrian. A wizard who practices the\nforbidden techniques of dark magic.
MJID_H_ダークナイト: Nohrian. An eldritch knight trained in\nboth swordsmanship and magic.
MJID_H_ストラテジスト: Nohrian. A planner who directs battles\natop a horse. Uses tomes and staves.
MJID_H_ロッドナイト: Nohrian. A healer mounted on a horse\nfor battlefield mobility. Uses staves.
MJID_H_バトラー: Nohrian. A servant who defends his\nmaster with shuriken and staves.
MJID_H_メイド: Nohrian. A servant who defends her\nmaster with shuriken and staves.
MJID_H_ガルー: Nohrian. A human/beast hybrid said to\nfeed on humans. High Str and Spd.
MJID_H_マーナガルム: Nohrian. A mighty wolfskin who\nsurpasses peers in skill and savagery.
MJID_H_妖狐: Hoshidan. A shape-shifter with a long\nlife span. They have high Spd and Res.
MJID_H_九尾の狐: Hoshidan. An eminent kitsune with a\npowerful spirit. Wise and learned.
MJID_H_歌姫: A singer whose mystical voice soothes\nhearts and grants allies an extra turn.
MJID_H_村人: Hoshidan. Ordinary rural citizen who\nuses naginata when forced to fight.
MJID_H_ランサー: Nohrian. A common soldier. They\nfollow orders and fight with lances.
MJID_H_ノスフェラトゥ: An undead monster conjured by fell\nmagic. Attacks with its fists.
MJID_H_ゴーレム: A statue given animation by magic.\nAttacks by throwing boulders at range.
MJID_H_絡繰人形: An automaton controlled by a mechanist.\nIt uses yumi and saws.
MJID_H_ダークロード: Hereditary ruler of Nohr. Empowered\nby his great bloodline.
MJID_H_竜: A ferocious beast that was once\nhuman.
MJID_H_星竜: A dragon of the Astral Plane. She has\ntraveled to many small worlds.
MJID_H_暗夜竜: Garon's final metamorphosis, infused\nwith all the power of his ancestors.
MJID_H_透魔竜: God of dragons, who commands water,\nsees the future, and controls minds.
MJID_H_水の眷属: A formless being of unidentifiable fluid.\nEven mere drops of it are harmful.
MJID_H_魔戦士: An elite Hoshidan warrior trained in\nkatana, clubs, and shuriken.
MJID_H_ダークペガサス: An elite Nohrian pegasus rider trained\nto use tomes and lances in the air.
MJID_H_シューター: An otherworldly artillerist. Uses\nmovable cannons to attack at range.
MJID_H_魔女: An otherworldly arcanist. Uses tomes\nand can warp over long distances.
MJID_H_スターロード: An otherworldly class. Tales abound of\nthis great hero-king. Uses swords.
MJID_H_ヴァンガード: An otherworldly class. The leader of a\nband of heroes. Uses swords and axes.
MJID_H_マスターロード: An otherworldly class. A time-lost but\nheroic royal. Uses swords and lances.
MJID_H_神軍師: An otherworldly class. A natural leader\nand tactician. Uses swords and tomes.
MSEID_不明: Outrealm Skill
MSEID_無し: None
MSEID_最大HP+5: HP +5
MSEID_力+2: Strength +2
MSEID_魔力+2: Magic +2
MSEID_技+2: Skill +2
MSEID_速さ+2: Speed +2
MSEID_幸運+4: Luck +4
MSEID_守備+2: Defense +2
MSEID_魔防+2: Resistance +2
MSEID_移動+1: Movement +1
MSEID_竜呪: Draconic Hex
MSEID_力封じ: Seal Strength
MSEID_魔力封じ: Seal Magic
MSEID_速さ封じ: Seal Speed
MSEID_守備封じ: Seal Defense
MSEID_魔防封じ: Seal Resistance
MSEID_力の叫び: Rally Strength
MSEID_魔力の叫び: Rally Magic
MSEID_技の叫び: Rally Skill
MSEID_速さの叫び: Rally Speed
MSEID_幸運の叫び: Rally Luck
MSEID_守備の叫び: Rally Defense
MSEID_魔防の叫び: Rally Resistance
MSEID_移動の叫び: Rally Movement
MSEID_特別な歌: Inspiring Song
MSEID_滅殺: Lethality
MSEID_流星: Astra
MSEID_竜穿: Dragon Fang
MSEID_太陽: Sol
MSEID_月光: Luna
MSEID_破天: Rend Heaven
MSEID_復讐: Vengeance
MSEID_大盾: Pavise
MSEID_聖盾: Aegis
MSEID_竜盾: Dragon Ward
MSEID_祈り: Miracle
MSEID_カウンター: Counter
MSEID_魔法カウンター: Countermagic
MSEID_待ち伏せ: Vantage
MSEID_獣特効: Beastbane
MSEID_人形崩し: Golembane
MSEID_暗夜: Nohrian Trust
MSEID_白夜: Hoshidan Unity
MSEID_救出: Shelter
MSEID_体当たり: Shove
MSEID_切り込み: Lunge
MSEID_入れ替え: Swap
MSEID_写し身人形: Replicate
MSEID_先手必勝: Quick Draw
MSEID_後手不敗: Strong Riposte
MSEID_広所突撃: Elbow Room
MSEID_閉所防御: Natural Cover
MSEID_偶像の幻: Evenhanded
MSEID_奇襲の牙: Odd Shaped
MSEID_死線: Life and Death
MSEID_お大尽: Spendthrift
MSEID_清流の一撃: Duelist's Blow
MSEID_飛燕の一撃: Darting Blow
MSEID_鬼神の一撃: Death Blow
MSEID_凶鳥の一撃: Certain Blow
MSEID_金剛の一撃: Armored Blow
MSEID_明鏡の一撃: Warding Blow
MSEID_見下す者: Trample
MSEID_守備隊形: Wary Fighter
MSEID_剣の達人: Swordfaire
MSEID_槍の達人: Lancefaire
MSEID_斧の達人: Axefaire
MSEID_暗器の達人: Shurikenfaire
MSEID_弓の達人: Bowfaire
MSEID_魔の達人: Tomefaire
MSEID_守り手: Defender
MSEID_名家の令息: Gentilhomme
MSEID_深窓の令嬢: Demoiselle
MSEID_戦闘指揮: Inspiration
MSEID_魔の風: Malefic Aura
MSEID_平和の声: Voice of Peace
MSEID_異邦の王女: Foreign Princess
MSEID_剣殺し: Swordbreaker
MSEID_槍殺し: Lancebreaker
MSEID_斧殺し: Axebreaker
MSEID_暗器殺し: Shurikenbreaker
MSEID_弓殺し: Bowbreaker
MSEID_魔殺し: Tomebreaker
MSEID_大振り: Gamble
MSEID_下剋上: Underdog
MSEID_ラッキー7: Lucky Seven
MSEID_天翔ける: Air Superiority
MSEID_呪縛: Heartseeker
MSEID_傾奇者: Quixotic
MSEID_しぶとい心: Good Fortune
MSEID_リフレッシュ: Relief
MSEID_和の心: Camaraderie
MSEID_回復: Renewal
MSEID_偶然のまどろみ: Even Better
MSEID_奇妙な鳴き声: Better Odds
MSEID_天照らす: Amaterasu
MSEID_生命吸収: Lifetaker
MSEID_よく効く薬: Potent Potion
MSEID_ご奉仕の喜び: Live to Serve
MSEID_蛇毒: Poison Strike
MSEID_死の吐息: Savage Blow
MSEID_四牙: Grisly Wound
MSEID_匠の技: Salvage Blow
MSEID_左うちわ: Profiteer
MSEID_高貴なる血統: Nobility
MSEID_おみくじ: Future Sight
MSEID_良成長: Aptitude
MSEID_常備薬: Quick Salve
MSEID_疾風迅雷: Galeforce
MSEID_すり抜け: Pass
MSEID_鍵開け: Locktouch
MSEID_ブリュンヒルデ: Brynhildr
MSEID_命中回避+10: Hit/Avo +10
MSEID_命中回避+20: Hit/Avo +20
MSEID_竜鱗: Dragonskin
MSEID_神盾: Divine Shield
MSEID_状態異常耐性: Resist Status
MSEID_状態異常無効: Immune Status
MSEID_攻防一体の陣: Bold Stance
MSEID_近接射撃: Point Blank
MSEID_翼盾: Winged Shield
MSEID_虚無の呪い: Void Curse
MSEID_自壊: Self-Destruct
MSEID_無限の杖: Staff Savant
MSEID_凍結: Immobilize
MSEID_負の連鎖: Inevitable End
MSEID_偶人の空蝉: Even Keel
